LABEL,TRACK_INDEX,TRACK_ID,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,CONFINEMENT_RATIO,,,velocity
Label,Track index,Track ID,Total distance traveled,Max distance traveled,Confinment ratio,Mean straight line speed,Linearity of forward progression,Mean directional change rate,Number of spots in track,Number of gaps,Number of split events,Number of merge events,Number of complex points,Longest gap,Track duration,Track start,Track stop,Track displacement,Track mean X,Track mean Y,Track mean Z,Track mean speed,Track max speed,Track min speed,Track median speed,Track std speed,Track mean quality,Confinement ratio,,,
Label,Index,ID,Total dist.,Max dist.,Cnfnmnt ratio,Mn. v. line,Fwd. progr.,Mn. ? rate,N spots,N gaps,N splits,N merges,N complex,Lgst gap,Duration,Track start,Track stop,Track disp.,Track X,Track Y,Track Z,Mean sp.,Max speed,Min speed,Med. speed,Std speed,Mean Q,Cfn. ratio,,,
,,,(µm),(µm),,(µm/sec),,(rad/sec),,,,,,,(sec),(sec),(sec),(µm),(µm),(µm),(µm),(µm/sec),(µm/sec),(µm/sec),(µm/sec),(µm/sec),(quality),,,,
Track_0,0,0,209.2924435,137.2829581,,0.113753981,0.641349944,0.047556196,60,0,0,0,0,0,1180,0,1180,134.229697,723.166895,646.84455,0,0.177366478,1.214231861,0,0.14487,0.174666471,0.726980778,0.641349944,,,0.1138
Track_1,1,1,135.2850627,75.38809864,,0.063888219,0.557253677,0.028454429,60,0,0,0,0,0,1180,0,1180,75.38809864,562.892385,660.1243,0,0.114648358,0.261168107,0,0.102438559,0.057220996,0.842876233,0.557253677,,,0.0639
Track_2,2,2,140.069055,77.97451959,,0.066080101,0.556686269,0.035481268,60,0,0,0,0,0,1180,0,1180,77.97451959,379.438675,397.112815,0,0.118702589,0.323939168,0,0.102438559,0.06762719,0.248944832,0.556686269,,,0.0661
Track_4,4,4,188.3038406,94.33250959,,0.078304537,0.490692878,0.039274784,60,0,0,0,0,0,1180,0,1180,92.39935343,466.070935,643.89886,0,0.159579526,0.440604904,0,0.161969584,0.089041084,0.699941645,0.490692878,,,0.0783
Track_5,5,5,140.9700155,59.5554914,,0.047437998,0.397083295,0.038252504,60,0,0,0,0,0,1180,0,1180,55.97683818,616.75988,630.594965,0,0.119466115,0.298657156,0,0.102438559,0.073986515,0.354712809,0.397083295,,,0.0474
Track_7,7,7,174.3082464,81.55293205,,0.068861394,0.466165239,0.052611789,60,0,0,0,0,0,1180,0,1180,81.25644526,320.1627,458.730855,0,0.147718853,0.390074413,0,0.14487,0.086456016,0.274017059,0.466165239,,,0.0689
Track_9,9,9,173.7969153,89.25685125,,0.074405822,0.505180828,0.037028252,60,0,0,0,0,0,1180,0,1180,87.79886957,390.352215,500.646575,0,0.147285521,0.43461,0,0.14487,0.089760761,0.332555647,0.505180828,,,0.0744
Track_12,12,12,155.3471701,92.55821281,,0.078439163,0.595815249,0.041911255,60,0,0,0,0,0,1180,0,1180,92.55821281,790.048545,699.81868,0,0.131650144,0.43461,0,0.102438559,0.080202621,0.330378026,0.595815249,,,0.0784
Track_13,13,13,202.7645097,62.7639975,,0.053189828,0.309541337,0.051893145,60,0,0,0,0,0,1180,0,1180,62.7639975,472.396925,458.730855,0,0.17183433,0.390074413,0,0.161969584,0.091708612,0.480774046,0.309541337,,,0.0532
Track_14,14,14,148.92665,81.95084751,,0.069449871,0.550276579,0.05171937,60,0,0,0,0,0,1180,0,1180,81.95084751,714.667855,706.941455,0,0.126209025,0.440604904,0,0.102438559,0.082305178,0.638016854,0.550276579,,,0.0694
Track_15,15,15,121.4432078,79.69166891,,0.099614586,0.656205236,0.030908819,41,0,0,0,0,0,800,0,800,79.69166891,680.5709927,519.9772976,0,0.15180401,0.390074413,0,0.161969584,0.085483906,0.524515226,0.656205236,,,0.0996
Track_17,17,17,146.6965513,94.44368524,,0.077101869,0.620193213,0.038005377,60,0,0,0,0,0,1180,0,1180,90.98020546,184.347075,475.825515,0,0.124319111,0.323939168,0,0.102438559,0.064653344,0.318407327,0.620193213,,,0.0771
Track_19,19,19,168.9962628,100.5464597,,0.078343025,0.547022568,0.036209786,60,0,0,0,0,0,1180,0,1180,92.44476968,241.715595,489.12941,0,0.143217172,0.390074413,0,0.102438559,0.076890328,0.450507126,0.547022568,,,0.0783
Track_20,20,20,137.9287101,77.48852409,,0.065668241,0.561801267,0.032861127,60,0,0,0,0,0,1180,0,1180,77.48852409,280.057855,524.28453,0,0.116888737,0.362175,0,0.102438559,0.078062047,0.471859633,0.561801267,,,0.0657
Track_21,21,21,135.0984263,80.93294511,,0.068587242,0.599066528,0.039351948,60,0,0,0,0,0,1180,0,1180,80.93294511,569.073505,531.407305,0,0.114490192,0.323939168,0,0.102438559,0.072186033,0.321963517,0.599066528,,,0.0686
Track_22,22,22,155.375758,76.7811,,0.089280349,0.494163961,0.068890335,44,0,0,0,0,0,860,0,860,76.7811,335.341125,529.89495,0,0.180669486,0.738694957,0.072435,0.161969584,0.116952544,0.216165742,0.494163961,,,0.0893
Track_23,23,23,112.3260058,54.84051889,,0.046475016,0.488226377,0.034300909,60,0,0,0,0,0,1180,0,1180,54.84051889,716.81676,527.42338,0,0.09519153,0.261168107,0,0.102438559,0.059477423,0.311289635,0.488226377,,,0.0465
Track_24,24,24,156.0005921,112.5612865,,0.095390921,0.721543969,0.045116388,60,0,0,0,0,0,1180,0,1180,112.5612865,152.958575,532.49383,0,0.132203892,0.261168107,0.072435,0.14487,0.052495643,0.300052707,0.721543969,,,0.0954
Track_25,25,25,143.0488975,66.59294303,,0.056434697,0.465525734,0.057761916,60,0,0,0,0,0,1180,0,1180,66.59294303,518.079265,350.319805,0,0.121227879,0.485908752,0,0.102438559,0.084933791,0.390270845,0.465525734,,,0.0564
Track_28,28,28,137.0661648,55.73260178,,0.047231018,0.406610938,0.045640886,60,0,0,0,0,0,1180,0,1180,55.73260178,440.35651,559.656955,0,0.116157767,0.323939168,0,0.102438559,0.067440206,0.515142974,0.406610938,,,0.0472
Track_29,29,29,146.3053826,101.2536632,,0.085491423,0.689515841,0.041902571,60,0,0,0,0,0,1180,0,1180,100.8798789,620.502355,575.47193,0,0.123987612,0.307315678,0,0.102438559,0.07965191,0.568372041,0.689515841,,,0.0855
Track_30,30,30,136.8295957,51.2192797,,0.035688213,0.307770345,0.056622927,60,0,0,0,0,0,1180,0,1180,42.11209183,359.37418,319.29348,0,0.115957284,0.307315678,0,0.102438559,0.056908524,0.308962681,0.307770345,,,0.0357
Track_31,31,31,126.7577269,51.38291998,,0.041270115,0.384187508,0.045685122,60,0,0,0,0,0,1180,0,1180,48.6987352,477.49152,546.811815,0,0.107421802,0.28974,0,0.102438559,0.063262059,0.448534831,0.384187508,,,0.0413
Track_32,32,32,132.5106593,19.0546735,,0.00746788,0.066501051,0.061735457,60,0,0,0,0,0,1180,0,1180,8.812098078,312.33972,345.780545,0,0.112297169,0.298657156,0,0.102438559,0.061045652,0.25087319,0.066501051,,,0.0075
Track_33,33,33,161.818436,118.2089489,,0.100177075,0.730503593,0.025163778,60,0,0,0,0,0,1180,0,1180,118.2089489,541.23432,610.747775,0,0.137134268,0.440604904,0,0.102438559,0.085352363,0.874969711,0.730503593,,,0.1002
Track_34,34,34,166.896922,86.83745138,,0.07359106,0.520305889,0.036189563,60,0,0,0,0,0,1180,0,1180,86.83745138,380.887375,571.391425,0,0.14143807,0.390074413,0,0.14487,0.07492077,0.513076616,0.520305889,,,0.0736
Track_35,35,35,135.4301179,52.73347598,,0.049371674,0.386427886,0.035650024,54,0,0,0,0,0,1060,120,1180,52.3339742,693.3639167,609.2588333,0,0.127764262,0.522336213,0,0.102438559,0.084107122,0.557457434,0.386427886,,,0.0494
Track_36,36,36,159.1885978,28.53608059,,0.023282679,0.163809471,0.056859261,57,0,0,0,0,0,1120,60,1180,26.0766,719.0889316,401.4169789,0,0.142132677,0.390074413,0,0.102438559,0.077144899,0.420974773,0.163809471,,,0.0233
Track_37,37,37,125.6229532,37.13309468,,0.020360852,0.145871165,0.03304976,46,0,0,0,0,0,900,40,940,18.32476659,724.4444804,470.6070457,0,0.139581059,0.390074413,0,0.14487,0.087974058,0.267547745,0.145871165,,,0.0204
Track_38,38,38,170.1537935,51.2192797,,0.039802295,0.26666826,0.056242059,58,0,0,0,0,0,1140,40,1180,45.37461612,419.2487845,457.4395138,0,0.149257714,0.440604904,0,0.14487,0.091306212,0.450976962,0.26666826,,,0.0398
Track_44,44,44,94.42226785,51.76949264,,0.052989371,0.538747876,0.052527812,49,0,0,0,0,0,960,220,1180,50.86979628,597.9878816,378.5837449,0,0.098356529,0.261168107,0,0.102438559,0.056404069,0.227086451,0.538747876,,,0.053
Track_48,48,48,117.7250738,43.67776444,,0.033938313,0.253690354,0.051138601,45,0,0,0,0,0,880,300,1180,29.8657156,506.1113933,251.78406,0,0.133778493,0.440604904,0,0.102438559,0.102983898,0.309000231,0.253690354,,,0.0339
Track_51,51,51,144.5214684,42.23650005,,0.046405393,0.269721383,0.04335764,43,0,0,0,0,0,840,340,1180,38.98053031,533.4921977,488.3803535,0,0.172049367,0.440604904,0,0.161969584,0.099297903,0.431890544,0.269721383,,,0.0464
Track_52,52,52,154.7936319,48.6987352,,0.046915358,0.254589935,0.07728781,43,0,0,0,0,0,840,340,1180,39.40890065,773.2352023,538.1078233,0,0.184278133,0.507045,0.072435,0.161969584,0.114344372,0.360785185,0.254589935,,,0.0469
Track_54,54,54,98.47654061,61.39480528,,0.080782639,0.623445999,0.043914548,39,0,0,0,0,0,760,420,1180,61.39480528,750.8723538,609.9769923,0,0.129574396,0.323939168,0,0.102438559,0.071847644,0.478208083,0.623445999,,,0.0808
Track_60,60,60,104.8563043,69.37140452,,0.105108189,0.661585443,0.038694156,34,0,0,0,0,0,660,520,1180,69.37140452,635.1271235,566.5269176,0,0.158873188,0.458119165,0,0.14487,0.085176942,0.5204529,0.661585443,,,0.1051
Track_63,63,63,94.64242385,14.91527939,,0.014724508,0.102683074,0.07214107,34,0,0,0,0,0,660,520,1180,9.718175037,241.5494206,363.7089176,0,0.143397612,0.307315678,0,0.14487,0.080649562,0.235037316,0.102683074,,,0.0147
Track_64,64,64,116.2494006,28.12866593,,0.018049127,0.114893961,0.054840064,38,0,0,0,0,0,740,440,1180,13.35635406,242.65725,413.1082421,0,0.157093785,0.58398964,0,0.14487,0.120101978,0.265978972,0.114893961,,,0.018
Track_67,66,67,97.00548196,75.5549482,,0.104937428,0.778872974,0.019073955,37,0,0,0,0,0,720,460,1180,75.5549482,844.6312541,724.3108459,0,0.134729836,0.369347478,0,0.14487,0.091175283,1.572520677,0.778872974,,,0.1049
